"name_de";"nummer";"lager_menge_total1";"lagerartikel";"lager_platz1"
"Clap Tzu Ölflaschenerwärmer Gerät zur Temperierung von Massageöl von Clap Tzu";"0P-UTAD-JRMQ";"0";"0";"HMW-Lagerplatz1"
"Gutschein 100 %";"100";"0";"0";"HMW-Lagerplatz1"
"Glasdeckel für Caldera-Wärmegerät";"100000";"2";"1";"HMW-Lagerplatz1"
"Optionaler Fußschalter für Modell Stockholm Basic";"100000_1";"0";"0";"HMW-Lagerplatz1"
"Umlaufende Schaltleiste für Modell Stockholm Basic (nicht kombinierbar mit dem Fußschalter)";"100001";"0";"0";"HMW-Lagerplatz1"
"Umlaufende Schaltleiste für Modell Stockholm Basic (nicht kombinierbar mit dem Fußschalter)";"100001_1";"0";"0";"HMW-Lagerplatz1"
"Radhebesatz (einseitig) für Modell Stockholm Basic";"100002";"0";"0";"HMW-Lagerplatz1"
"Platine für Caldera Wärmegerät";"100002_";"199";"1";"HMW-Lagerplatz1"
"Radhebesatz (einseitig) für Modell Stockholm Basic";"100002_1";"0";"0";"HMW-Lagerplatz1"
"Papierrollenhalter für Modell Stockholm Basic";"100003";"0";"0";"HMW-Lagerplatz1"
"Papierrollenhalter für Modell Stockholm Basic";"100003_1";"0";"0";"HMW-Lagerplatz1"
"Horizontal faltbare Seitengitter für Modell Stockholm Basic";"100004";"0";"0";"HMW-Lagerplatz1"
"Optionaler Fußschalter für Modell Stockholm Basic";"100005";"0";"0";"HMW-Lagerplatz1"
"EcoVerde | mobile Massageliege";"100015.20";"0";"0";"HMW-Lagerplatz1"
"Flanell-Set für Massageliegen";"100027";"202";"1";"HMW-Lagerplatz1"
"Flanell-Überzug-Set für Polsterkragen (4 Stück)";"100028";"207";"1";"HMW-Lagerplatz1"
"Flanell-Überzug für Massageliegen";"100029";"45";"1";"HMW-Lagerplatz1"
"Flanell-Überzug mit Nasenschlitz";"100030";"14";"1";"HMW-Lagerplatz1"
"Flanell-Überzug-Set für Massagestuhl | 6-teilig";"100031";"190";"1";"HMW-Lagerplatz1"
"Fußauflage für Massageliegen";"100032";"172";"1";"HMW-Lagerplatz1"
"Gästehandtücher - Clap Tzu | 10 Stück";"100047";"0";"1";"HMW-Lagerplatz1"
"Standardhandtücher - Clap Tzu | 4 Stück";"100048";"19";"1";"HMW-Lagerplatz1"
"3er Set Duschhandtücher - Clap Tzu";"100049";"61";"1";"HMW-Lagerplatz1"
"Hot Stone Fuß-Bandagen";"100067";"140";"1";"HMW-Lagerplatz1"
"Matrixartikel";"1001324";"0";"0";"HMW-Lagerplatz1"
"Verzollungskosten";"1001327";"0";"0";"HMW-Lagerplatz1"
"Versandkosten mobile Liegen";"1001328";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Standard Versand";"1001329";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Aufpreis Zusatzhelfer (Student)";"1001330";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Lieferung frei Haus";"1001331";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Stückgut-Paket";"1001332";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Premiumversand durch Servicetechniker";"1001333";"0";"0";"HMW-Lagerplatz1"
"Versandkosten Mobile Liegen Übermaß";"1001334";"0";"0";"HMW-Lagerplatz1"
